Format: Days, Expected Price, Expected Return, Probability of Breakeven
USCT: 90, 19.22, 48.42, 1.0
LGTO: 90, 13.8, 28.55, 1.0
MLAI: 90, 13.88, 28.44, 1.0
XFIN: 90, 12.19, 19.15, 1.0
FXCOU: 90, 11.24, 8.39, 1.0
RILYG: 90, 27.36, 8.0, 1.0
OCCIN: 90, 26.72, 6.45, 1.0
SAGAU: 90, 10.55, 5.25, 1.0
LSPRU: 90, 10.37, 3.53, 1.0
OHAA: 90, 9.7, 0.0, 1.0
IVCPU: 90, 10.9, 8.69, 0.9972
GFGF: 90, 35.76, 28.5, 0.9969
AHRNU: 90, 10.25, 2.22, 0.9956
ALSAU: 90, 11.68, 12.47, 0.9952
LAXXU: 90, 11.78, 11.22, 0.9947
IVCBU: 90, 10.7, 5.75, 0.9941
ARCK: 90, 11.21, 11.4, 0.994
KACLU: 90, 10.78, 6.07, 0.9932
ROCAU: 90, 10.51, 3.89, 0.9929
IGTAU: 90, 10.43, 3.38, 0.9876
SHV: 90, 110.75, 0.3, 0.9869
PRLHU: 90, 10.19, 2.0, 0.986
VSAC: 90, 10.18, 2.98, 0.9814
BHFAM: 90, 27.46, 8.08, 0.9804
JWACU: 90, 10.23, 1.77, 0.9772
FOUNU: 90, 10.83, 4.94, 0.9769
BPACU: 90, 11.5, 10.85, 0.9745
FOUN: 90, 10.47, 5.0, 0.9717
SARK: 90, 63.56, 40.9, 0.965
GDNRU: 90, 10.5, 4.37, 0.9634
ARTE: 90, 11.27, 9.81, 0.9633
GFS: 90, 125.7, 49.24, 0.9527
MDCP: 90, 30.39, 13.49, 0.9518
ARIZ: 90, 9.95, 2.1, 0.9509
SSSSL: 90, 28.01, 9.02, 0.945
GPCOU: 90, 11.18, 4.25, 0.9392
PEPLU: 90, 10.69, 4.78, 0.9316
NOVV: 90, 10.19, 2.2, 0.9275
ARTEU: 90, 10.96, 5.14, 0.922
LIBYU: 90, 10.51, 2.85, 0.9138
AMCIU: 90, 10.95, 4.92, 0.9087
DEMZ: 90, 33.44, 10.62, 0.9061
JMACU: 90, 10.56, 2.63, 0.9052
GGAAU: 90, 10.21, 1.37, 0.8983
BSCE: 90, 26.19, 1.32, 0.8978
CCSI: 90, 118.72, 50.99, 0.8915
EFSCP: 90, 28.68, 9.7, 0.8906
ESMV: 90, 28.72, 9.53, 0.8819
XPDBU: 90, 11.05, 7.95, 0.8802
WFRD: 90, 48.12, 43.22, 0.878
VSACU: 90, 10.47, 2.62, 0.877
OXUSU: 90, 10.82, 3.78, 0.8727
METCL: 90, 28.49, 4.76, 0.8716
LGBT: 90, 31.15, 7.78, 0.8685
GNTA: 90, 14.75, 23.39, 0.8655
FEXDU: 90, 10.37, 1.79, 0.8608
USXF: 90, 44.05, 10.15, 0.8605
FRLAU: 90, 10.41, 2.55, 0.8596
REIT: 90, 34.24, 9.74, 0.8576
RICO: 90, 10.23, 1.86, 0.8576
NYMTZ: 90, 25.85, 4.06, 0.8562
ATLCL: 90, 26.83, 5.5, 0.8539
PPHPU: 90, 10.85, 3.63, 0.8496
AUID: 90, 31.37, 51.68, 0.8487
EBC: 90, 24.06, 14.6, 0.8482
BWMN: 90, 27.57, 21.55, 0.8477
REVEU: 90, 12.15, 9.49, 0.8472
ASO: 90, 57.63, 28.13, 0.8464
RVAC: 90, 9.84, 0.97, 0.8452
REAX: 90, 6.63, 43.47, 0.8437
JMAC: 90, 10.06, 1.25, 0.8427
HHGCU: 90, 10.79, 3.2, 0.8381
JOET: 90, 36.33, 8.84, 0.8379
OXACU: 90, 11.21, 5.2, 0.8371
LAX: 90, 9.95, 2.71, 0.8339
FINW: 90, 16.54, 18.39, 0.832
CBRGU: 90, 10.41, 2.66, 0.8315
ENERU: 90, 10.54, 2.72, 0.8254
AEAEU: 90, 10.37, 2.12, 0.8246
GACQ: 90, 10.08, 1.87, 0.8241
SOXQ: 90, 36.4, 13.44, 0.8233
AQWA: 90, 18.95, 6.88, 0.8218
CLAY: 90, 10.09, 2.41, 0.8213
